brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,1.900.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,NaN,4 GB,Onboard,250 GB,Việt Nam,In trên bao bì,SSD,850.000 đ
Apple,Macbook Pro M3,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Khác,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,65.000.000 đ
Asus,X Series,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,3.999.999 đ
Dell,XPS,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,11.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,17.900.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,6 GB,NaN,128 GB,Đang cập nhật,In trên bao bì,SSD,600.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,8.800.000 đ
Lenovo,Legion Y Series,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Trung Quốc,In trên bao bì,NaN,80.000.000 đ
Dell,G Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,32.000.000 đ
