brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,5500000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Unknown,In trên bao bì,,1000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,13900000
Razer,Blade,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,,45000000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,9990000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Unknown,In trên bao bì,SSD,4500000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,16 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,12200000
Apple,MacBook Pro M1 Touch Bar,Đã sử dụng (chưa sửa chữa),6,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,22000000
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,4500000
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Pentium,4 GB,Onboard,128 GB,Unknown,In trên bao bì,SSD,1200000
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,1 TB,Unknown,In trên bao bì,SSD,18500000
Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,256 GB,Unknown,In trên bao bì,,450000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),6,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,4490000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,AMD,512 GB,Unknown,In trên bao bì,SSD,14000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,5499000
Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),0,17 - 18.9 inch,Intel Core i5,8 GB,Onboard,128 GB,VietNam,In trên bao bì,SSD,3000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,3600000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,11990000
